epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,35361.3,1.74528,1.2336,1.24026,0.84393,0.71144,0.7742,0.40795,1.72362,1.2495,1.19612,0.0079705,0.0079705,0.0079705
43,36192.5,1.7325,1.20936,1.23973,0.84464,0.71517,0.77792,0.4117,1.71419,1.24259,1.19397,0.007921,0.007921,0.007921
44,37020,1.72314,1.20712,1.23409,0.84351,0.71842,0.77827,0.41355,1.70881,1.22882,1.19002,0.0078715,0.0078715,0.0078715
45,37857.7,1.72193,1.19366,1.22932,0.84485,0.72151,0.77904,0.41632,1.70378,1.23821,1.18812,0.007822,0.007822,0.007822
46,38703.8,1.71661,1.20348,1.22989,0.84226,0.72504,0.78307,0.4183,1.70106,1.22485,1.1865,0.0077725,0.0077725,0.0077725
47,39550.2,1.72005,1.19286,1.23258,0.84222,0.72577,0.78186,0.41695,1.69838,1.22012,1.18608,0.007723,0.007723,0.007723
48,40384.3,1.70152,1.1639,1.22244,0.84441,0.72698,0.78464,0.4205,1.69068,1.21518,1.18296,0.0076735,0.0076735,0.0076735
49,41213.4,1.69597,1.16789,1.22164,0.84464,0.72795,0.7855,0.42321,1.68388,1.20822,1.18058,0.007624,0.007624,0.007624
50,42068.3,1.69543,1.16521,1.22402,0.85195,0.72947,0.7899,0.4245,1.68348,1.20089,1.18072,0.0075745,0.0075745,0.0075745
51,42950.3,1.6838,1.15946,1.21875,0.85161,0.73134,0.79181,0.42652,1.67735,1.19565,1.17834,0.007525,0.007525,0.007525
52,43786,1.69045,1.17134,1.21799,0.85004,0.73363,0.79287,0.42903,1.67416,1.19732,1.17567,0.0074755,0.0074755,0.0074755
53,44623.9,1.67654,1.13197,1.21341,0.85068,0.73437,0.79365,0.43116,1.67401,1.19557,1.17549,0.007426,0.007426,0.007426
54,45460.5,1.6666,1.13923,1.21099,0.85267,0.7366,0.79483,0.43363,1.66835,1.18541,1.17476,0.0073765,0.0073765,0.0073765
55,46306.7,1.66944,1.14332,1.20667,0.8538,0.73816,0.79574,0.43447,1.66669,1.18721,1.17374,0.007327,0.007327,0.007327
56,47155.2,1.67478,1.14882,1.20951,0.85456,0.74048,0.79754,0.43525,1.66881,1.18269,1.17327,0.0072775,0.0072775,0.0072775
57,47991,1.66052,1.11304,1.20543,0.85256,0.73936,0.79768,0.43637,1.66863,1.1778,1.1726,0.007228,0.007228,0.007228
58,48830,1.65952,1.11489,1.20513,0.8512,0.74247,0.79984,0.43707,1.66806,1.17461,1.17283,0.0071785,0.0071785,0.0071785
59,49670.7,1.64374,1.11403,1.196,0.8509,0.74319,0.80032,0.43861,1.66595,1.16847,1.17289,0.007129,0.007129,0.007129
60,50510.9,1.64369,1.09761,1.19634,0.85393,0.7431,0.80161,0.4392,1.66545,1.16487,1.17162,0.0070795,0.0070795,0.0070795
61,51362.8,1.6391,1.08842,1.19744,0.8522,0.74598,0.80275,0.44043,1.6598,1.16201,1.17049,0.00703,0.00703,0.00703
62,52203.3,1.62596,1.06819,1.18942,0.8537,0.74525,0.80339,0.44177,1.65795,1.16017,1.1695,0.0069805,0.0069805,0.0069805
63,53034.8,1.62405,1.06982,1.1862,0.85586,0.74564,0.80374,0.44316,1.6538,1.15586,1.16834,0.006931,0.006931,0.006931
64,53880.1,1.62208,1.08187,1.18925,0.85627,0.74741,0.80489,0.44455,1.65073,1.15281,1.16726,0.0068815,0.0068815,0.0068815
65,54734.9,1.6101,1.05862,1.18407,0.85529,0.74787,0.80543,0.44567,1.64799,1.15178,1.16617,0.006832,0.006832,0.006832
66,55571.4,1.59989,1.05374,1.17935,0.85467,0.75117,0.80682,0.44674,1.64632,1.14795,1.16597,0.0067825,0.0067825,0.0067825
67,56407.2,1.59963,1.05578,1.17826,0.85647,0.75135,0.80737,0.44791,1.64407,1.14588,1.16548,0.006733,0.006733,0.006733
68,57246.9,1.59835,1.06196,1.1771,0.85878,0.75188,0.80849,0.44913,1.6442,1.14215,1.1653,0.0066835,0.0066835,0.0066835
69,58088.5,1.58166,1.04793,1.16993,0.85869,0.7531,0.80876,0.45042,1.64273,1.13987,1.16438,0.006634,0.006634,0.006634
70,58930.6,1.58875,1.03158,1.17252,0.85944,0.75365,0.80944,0.45145,1.6409,1.13703,1.16333,0.0065845,0.0065845,0.0065845
71,59767.9,1.58463,1.05514,1.16824,0.86026,0.75438,0.81013,0.45222,1.63982,1.13524,1.16229,0.006535,0.006535,0.006535
72,60609.1,1.57299,1.02703,1.16465,0.86116,0.75535,0.81077,0.45296,1.63776,1.13371,1.16162,0.0064855,0.0064855,0.0064855
73,61448.4,1.56946,1.03491,1.16561,0.86205,0.75606,0.81132,0.45392,1.63679,1.13316,1.16029,0.006436,0.006436,0.006436
74,62290.5,1.5627,1.01093,1.16014,0.86194,0.75724,0.81211,0.45459,1.63396,1.13059,1.15991,0.0063865,0.0063865,0.0063865
75,63189.3,1.56333,1.0083,1.1611,0.86192,0.75825,0.81255,0.45534,1.63113,1.12738,1.15876,0.006337,0.006337,0.006337
76,64026.5,1.55006,0.98558,1.15513,0.8644,0.75736,0.81305,0.45619,1.62897,1.12467,1.15795,0.0062875,0.0062875,0.0062875
77,64869.7,1.54853,1.00689,1.15528,0.86256,0.75923,0.81343,0.45677,1.62629,1.12654,1.15694,0.006238,0.006238,0.006238
78,65710.6,1.55034,0.99869,1.15767,0.86417,0.75943,0.81395,0.45737,1.62516,1.12633,1.1568,0.0061885,0.0061885,0.0061885
79,66551.3,1.55097,0.99732,1.15595,0.86422,0.75958,0.81436,0.45807,1.62425,1.12532,1.15647,0.006139,0.006139,0.006139
80,67384.8,1.53499,0.971,1.15177,0.86453,0.76072,0.81521,0.45881,1.62333,1.12424,1.15585,0.0060895,0.0060895,0.0060895
81,68215.5,1.53695,0.97942,1.15121,0.86417,0.7611,0.81562,0.45969,1.62081,1.12199,1.15517,0.00604,0.00604,0.00604
82,69055.8,1.53508,0.98669,1.15035,0.86385,0.76224,0.81533,0.46015,1.61969,1.12067,1.15482,0.0059905,0.0059905,0.0059905
83,69896.7,1.53204,0.9876,1.14896,0.86429,0.76306,0.8155,0.46087,1.61863,1.11911,1.15415,0.005941,0.005941,0.005941
84,70784,1.51289,0.96642,1.13811,0.86512,0.76302,0.81572,0.46136,1.61617,1.11679,1.15369,0.0058915,0.0058915,0.0058915
85,71612.7,1.50809,0.96014,1.14056,0.86575,0.76412,0.81618,0.46205,1.6153,1.11598,1.1534,0.005842,0.005842,0.005842
86,72450.2,1.50984,0.94289,1.1406,0.86638,0.76392,0.81629,0.46259,1.61412,1.11369,1.15329,0.0057925,0.0057925,0.0057925
87,73292.2,1.49559,0.93576,1.13291,0.8671,0.76403,0.81695,0.46311,1.61253,1.11217,1.15282,0.005743,0.005743,0.005743
88,74129.8,1.49279,0.93779,1.13329,0.86871,0.76319,0.81733,0.46359,1.61185,1.11075,1.15213,0.0056935,0.0056935,0.0056935
89,74960.9,1.49049,0.9348,1.13147,0.86918,0.76341,0.81797,0.46446,1.60979,1.10799,1.15122,0.005644,0.005644,0.005644
90,75805.4,1.49281,0.92798,1.13189,0.86975,0.76361,0.81848,0.46494,1.60806,1.10673,1.15052,0.0055945,0.0055945,0.0055945
91,76642.1,1.48684,0.91959,1.12811,0.87057,0.76399,0.81886,0.46527,1.60665,1.10428,1.15009,0.005545,0.005545,0.005545
92,77484.7,1.47099,0.91041,1.12129,0.87081,0.76449,0.81925,0.46598,1.60481,1.10159,1.14947,0.0054955,0.0054955,0.0054955
93,78376.1,1.47362,0.9038,1.12408,0.87118,0.76471,0.82005,0.46655,1.60314,1.10013,1.14859,0.005446,0.005446,0.005446
94,79221.5,1.46659,0.90035,1.11997,0.87115,0.76516,0.82059,0.46739,1.60202,1.09777,1.14813,0.0053965,0.0053965,0.0053965
95,80060,1.44791,0.88797,1.11267,0.87189,0.76551,0.8211,0.46806,1.60114,1.09571,1.14796,0.005347,0.005347,0.005347
96,80904.5,1.46402,0.91556,1.11791,0.87229,0.76638,0.82175,0.46883,1.59891,1.09503,1.14724,0.0052975,0.0052975,0.0052975
97,81750.3,1.4497,0.90101,1.11371,0.87224,0.76682,0.82217,0.46958,1.59739,1.09403,1.14645,0.005248,0.005248,0.005248
